Time,ActiveClones,CumulativeDrivers,CumulativePassengers
0,1,0,0
0.0372673,1,0,0
0.0404123,1,0,0
0.0438485,1,0,0
0.0568883,1,0,0
0.0671325,1,0,0
0.068095,1,0,0
0.0702646,1,0,0
0.0945004,1,0,0
0.108628,1,0,0
0.122588,1,0,0
0.129991,2,0,1
0.135194,2,0,1
0.139891,2,0,1
0.142622,2,0,1
0.168472,2,0,1
0.169479,2,0,1
0.19504,2,0,1
0.201794,2,0,1
0.204339,2,0,1
0.222756,2,0,1
0.282048,2,0,1
0.3019,3,0,2
0.325148,3,0,2
0.352569,4,0,3
0.381198,4,0,3
0.400852,4,0,3
0.411166,4,0,3
0.411894,4,0,3
0.460971,4,0,3
0.485013,4,0,3
0.498517,4,0,3
0.506151,4,0,3
0.520124,4,0,3
0.5213,4,0,3
0.527654,4,0,3
0.53393,4,0,3
0.617526,4,0,3
0.618602,4,0,3
0.620994,4,0,3
0.623212,4,0,3
0.630478,4,0,3
0.638091,5,0,4
0.648807,5,0,4
0.671731,5,0,4
0.722141,5,0,4
0.743674,6,0,5
0.774281,6,0,5
0.781289,6,0,5
0.809492,7,0,6
0.825028,8,1,6
0.838456,8,1,6
0.839429,8,1,6
0.84437,8,1,6
0.847769,8,1,6
0.85122,8,1,6
0.858574,7,1,6
0.859666,7,1,6
0.915587,7,1,6
0.927222,7,1,6
0.928299,8,1,7
0.93462,7,1,7
0.950405,7,1,7
0.955583,7,1,7
0.987493,7,1,7
0.996805,7,1,7
1.00002,7,1,7
1.03454,7,1,7
1.04788,7,1,7
1.07228,8,1,8
1.09789,8,1,8
1.11774,8,1,8
1.12485,8,1,8
1.12843,7,1,8
1.20524,7,1,8
1.25175,7,1,8
1.26652,7,1,8
1.28709,8,2,8
1.31895,9,2,9
1.33775,9,2,9
1.3403,10,2,10
1.34892,11,2,11
1.36795,11,2,11
1.39362,11,2,11
1.41779,11,2,11
1.48222,11,2,11
1.49475,12,2,12
1.53045,12,2,12
1.54235,12,2,12
1.59815,12,2,12
1.61217,13,3,12
1.61222,13,3,12
1.62086,13,3,12
1.64458,13,3,12
1.67739,13,3,12
1.70996,14,3,13
1.80398,14,3,13
1.8177,14,3,13
1.82085,14,3,13
1.83096,14,3,13
1.86143,14,3,13
1.86464,14,3,13
1.87497,15,3,14
1.88362,15,3,14
1.88532,15,3,14
1.88916,15,3,14
1.94317,16,3,15
1.94985,17,3,16
1.97429,16,3,16
1.9765,16,3,16
1.99683,16,3,16
2.025,16,3,16
2.03727,16,3,16
2.04093,16,3,16
2.06829,16,3,16
2.09229,16,3,16
2.10565,15,3,16
2.1164,15,3,16
2.15587,15,3,16
2.17321,15,3,16
2.20831,15,3,16
2.21092,14,3,16
2.21997,13,3,16
2.22812,13,3,16
2.22976,13,3,16
2.25094,13,3,16
2.26665,12,3,16
2.26801,12,3,16
2.27067,12,3,16
2.30546,11,3,16
2.31986,11,3,17
2.39659,12,3,18
2.39771,13,3,19
2.40123,13,3,19
2.40574,13,3,19
2.45165,12,3,19
2.48544,13,4,19
2.49869,13,4,19
2.51133,13,4,19
2.51846,12,4,19
2.51934,12,4,19
2.51982,12,4,19
2.558,13,4,20
2.59142,14,4,21
2.61604,14,4,21
2.64002,14,4,21
2.64864,14,4,21
2.66672,14,4,21
2.66878,14,4,21
2.67745,14,4,21
2.69215,14,4,21
2.70003,14,5,21
2.75404,14,5,21
2.7645,13,5,21
2.79247,13,5,21
2.80128,13,5,21
2.80484,13,5,21
2.80536,13,5,22
2.81405,13,5,22
2.83516,14,5,23
2.87088,14,5,23
2.88856,15,5,24
2.89129,15,5,24
2.93587,15,5,24
2.93645,14,5,24
2.94958,14,5,24
2.95464,14,5,24
3.0005,14,5,24
3.01246,14,5,24
3.06853,14,5,24
3.10403,13,5,24
3.10533,14,5,25
3.12216,14,5,26
3.1252,15,5,27
3.1782,16,6,27
3.18766,16,6,27
3.20314,16,6,27
3.20542,16,6,27
3.23588,16,6,27
3.30503,16,6,27
3.30552,16,6,27
3.31124,16,6,28
3.32755,17,6,29
3.33228,17,6,29
3.36339,17,6,29
3.3751,16,6,29
3.37596,17,6,30
3.42169,17,6,30
3.42451,18,6,31
3.43486,19,6,32
3.47137,18,6,32
3.47482,18,6,33
3.48008,18,6,33
3.52118,18,6,34
3.57518,18,6,34
3.58737,18,6,34
3.59434,19,6,35
3.60624,19,6,35
3.61328,19,6,35
3.62696,19,6,35
3.64379,20,7,35
3.66173,20,7,35
3.6937,20,7,35
3.70012,20,7,35
3.76292,19,7,35
3.79482,19,7,35
3.8034,19,7,35
3.81095,20,8,35
3.81565,20,8,35
3.83151,19,8,35
3.83787,19,8,35
3.84649,19,8,35
3.85495,20,8,36
3.89134,20,8,37
3.9084,20,8,37
3.93127,19,8,37
3.93856,19,8,37
3.96524,19,8,37
3.98612,20,8,38
3.98923,21,8,39
4.01979,20,8,39
4.05912,21,8,40
4.06147,21,8,40
4.07159,21,8,40
4.0762,20,8,40
4.08309,20,8,40
4.08418,20,8,41
4.122,20,8,41
4.13357,20,8,41
4.16718,20,8,41
4.19815,19,8,41
4.21172,19,8,41
4.21573,19,8,41
4.22246,19,8,41
4.22584,19,8,41
4.23031,19,8,41
4.28212,18,8,41
4.28476,18,8,41
4.2893,17,8,41
4.31172,17,8,41
4.31835,17,8,41
4.32196,17,8,41
4.33367,16,8,41
4.36093,16,8,41
4.36185,17,9,41
4.37933,17,9,41
4.43004,18,9,42
4.46007,17,9,42
4.46097,17,10,42
4.47662,17,10,42
4.58499,17,10,42
4.5887,17,10,42
4.61025,17,10,42
4.62772,16,10,42
4.63468,16,10,42
4.64734,15,10,42
4.70642,15,10,42
4.75932,14,10,42
4.76707,14,10,42
4.83295,14,10,42
4.84007,13,10,42
4.86033,14,10,43
4.88761,14,10,43
4.88789,14,10,43
4.91658,15,10,44
4.92647,15,10,44
4.95133,16,11,44
4.96995,16,11,44
4.97657,15,11,44
5.00867,15,11,44
5.01795,15,11,44
5.04059,15,11,44
5.0407,15,11,45
5.05024,15,11,45
5.07264,15,11,45
5.12596,14,11,45
5.13155,14,11,45
5.13243,14,11,45
5.14644,13,11,45
5.15953,14,11,46
5.17893,14,11,46
5.21433,13,11,46
5.24097,13,11,46
5.25513,13,11,46
5.28609,14,11,47
5.32455,13,11,47
5.39112,13,11,47
5.39925,13,11,47
5.40481,13,11,47
5.43179,13,11,47
5.43556,13,11,47
5.44278,13,11,47
5.46999,14,11,48
5.54592,14,11,48
5.5497,14,11,49
5.55267,13,11,49
5.56183,13,11,49
5.57488,13,11,49
5.58327,13,11,49
5.59223,13,11,49
5.6188,13,11,49
5.62741,13,11,49
5.63743,13,11,49
5.64477,12,11,49
5.66461,12,11,49
5.6905,13,11,50
5.72733,13,11,50
5.78854,14,11,51
5.79559,13,11,51
5.79706,13,11,51
5.81633,13,11,52
5.85259,13,11,52
5.85514,13,11,52
5.8584,12,11,52
5.88024,13,11,53
5.90411,13,11,53
5.93017,13,11,53
5.96502,14,11,54
5.97529,15,11,55
5.99926,15,11,55
6.04121,16,11,56
6.05014,16,11,56
6.07296,16,11,56
6.08497,15,11,56
6.09087,15,11,56
6.1051,15,11,56
6.10511,15,11,56
6.12287,15,11,56
6.12792,15,11,56
6.16096,15,11,56
6.19545,15,11,56
6.2342,14,11,56
6.24785,14,11,56
6.28231,15,11,57
6.33961,15,11,57
6.36726,14,11,57
6.40658,14,11,57
6.43528,14,11,57
6.4391,14,11,57
6.45573,14,11,57
6.45814,15,11,58
6.46043,15,11,58
6.47034,15,11,58
6.53542,15,11,58
6.58169,16,11,59
6.58952,16,11,60
6.59324,16,11,60
6.60737,16,11,60
6.61925,16,11,60
6.62324,16,11,60
6.64905,16,11,60
6.66393,15,11,60
6.67165,15,11,60
6.68001,15,11,60
6.68447,15,11,60
6.69943,15,11,60
6.70836,15,11,60
6.73798,16,11,61
6.74553,17,12,61
6.75954,17,12,61
6.7799,17,12,61
6.78202,17,12,61
6.79015,16,12,61
6.81379,16,12,61
6.82174,16,12,61
6.82798,16,12,61
6.83586,16,12,61
6.85542,17,12,62
6.88651,17,12,62
6.89415,17,12,62
6.8995,17,12,62
6.92958,16,12,62
6.94044,16,12,62
6.96738,16,12,62
6.9886,15,12,62
7.02944,16,12,63
7.0712,16,12,63
7.08721,15,12,63
7.10227,15,12,63
7.10518,15,12,63
7.11009,15,12,63
7.1213,15,12,63
7.12467,15,12,63
7.15577,16,13,63
7.18418,16,13,63
7.19619,15,13,63
7.2468,15,13,63
7.26354,15,13,63
7.28412,15,13,63
7.30593,16,14,63
7.31676,15,14,63
7.31701,15,14,63
7.31939,15,14,63
7.33284,15,14,63
7.35501,15,14,63
7.36384,16,15,63
7.39247,17,15,64
7.39579,17,15,64
7.40157,17,15,64
7.4063,18,15,65
7.42506,18,15,65
7.42675,18,15,65
7.43023,19,15,66
7.44978,19,15,66
7.45687,19,15,66
7.47249,19,15,66
7.52258,19,15,66
7.54082,19,15,66
7.5821,20,15,67
7.60761,20,15,67
7.60961,20,15,67
7.61379,21,15,68
7.62097,20,15,68
7.7051,21,15,69
7.73291,20,15,69
7.75532,20,15,69
7.8127,20,15,69
7.81518,20,15,69
7.81715,21,15,70
7.8354,20,15,70
7.86533,20,15,70
7.87053,20,15,70
7.91175,20,15,70
7.93123,19,15,70
7.969,19,15,70
7.98026,20,15,71
7.98842,20,15,71
7.99214,20,15,71
8.03444,20,15,72
8.04835,19,15,72
8.04925,19,15,72
8.11066,18,15,72
8.11186,18,15,72
8.11979,18,15,72
8.13097,18,15,72
8.1459,18,15,72
8.16482,19,15,73
8.17115,20,15,74
8.20525,20,15,74
8.21316,19,15,74
8.2282,18,15,74
8.26332,18,15,74
8.26498,18,15,74
8.27514,19,15,75
8.29459,19,15,75
8.29702,19,15,75
8.29723,18,15,75
8.30741,17,15,75
8.31247,17,15,75
8.32008,17,15,75
8.33168,16,15,75
8.33908,17,16,75
8.3713,16,16,75
8.37853,15,16,75
8.39479,15,16,75
8.41678,15,16,75
8.41796,15,16,75
8.41877,15,16,75
8.43255,15,16,75
8.43423,15,16,75
8.56164,15,16,75
8.56305,15,16,75
8.58955,15,16,75
8.6037,15,16,75
8.62998,15,16,75
8.66911,15,16,75
8.67144,15,16,75
8.6767,15,16,75
8.67761,15,16,75
8.68251,15,16,75
8.73683,15,16,75
8.74283,15,16,75
8.74524,15,16,75
8.74872,15,16,75
8.75997,15,16,75
8.76529,16,16,76
8.78427,16,16,76
8.79133,16,16,76
8.79647,15,16,76
8.82685,15,16,76
8.83374,14,16,76
8.8474,14,16,76
8.863,14,16,76
8.86475,14,16,76
8.86787,13,16,76
8.86831,14,16,77
8.87296,14,16,77
8.87497,14,16,77
8.89693,13,16,77
8.92221,13,16,77
8.94119,13,16,77
8.95207,13,16,77
8.97946,12,16,77
8.99246,12,16,77
9.00132,11,16,77
9.0074,11,16,77
9.05964,11,16,77
9.06887,11,16,77
9.08269,11,16,77
9.10537,11,16,77
9.11446,11,16,77
9.13333,11,16,77
9.18585,11,16,77
9.21114,11,16,77
9.22396,12,17,77
9.22655,12,17,77
9.23322,12,17,77
9.26291,12,17,77
9.29145,12,17,77
9.29286,13,17,78
9.29908,13,17,78
9.30113,13,17,78
9.3109,13,17,78
9.33421,14,17,79
9.37032,14,17,79
9.38536,14,17,79
9.38561,15,18,79
9.3992,15,18,79
9.40498,15,18,79
9.40521,15,18,79
9.41732,15,18,79
9.41972,15,18,79
9.42133,15,18,79
9.42777,15,18,79
9.4583,16,18,80
9.46054,17,18,81
9.46183,17,18,81
9.49847,16,18,81
9.50102,15,18,81
9.50168,15,18,81
9.50672,15,18,81
9.518,16,19,81
9.54617,16,19,81
9.55176,16,19,81
9.55628,17,19,82
9.55902,16,19,82
9.57014,16,19,82
9.57892,16,19,82
9.57973,16,19,82
9.58366,16,19,82
9.58816,16,19,82
9.62247,15,19,82
9.65177,16,19,83
9.67785,16,19,83
9.68963,16,19,83
9.69242,16,19,83
9.72898,16,19,83
9.75256,16,19,83
9.77274,15,19,83
9.78043,14,19,83
9.78624,14,19,83
9.79886,14,19,83
9.83543,14,19,83
